# Sample IP Geofeed - RFC 8805 Format
# Format: ip_prefix, country_code, region_code, city, postal_code
202.125.100.144/28,ID,,Jakarta,
# Sample IP Geofeed - RFC 8805 Format

2605:59c8:2700::/40,CA,CA-QC,Montreal,

# Sample IP Geofeed - RFC 8805 Format
150.228.170.0/24,SG,SG-01,Singapore,
192.0.2.0/24,US,US-CA,Los Angeles,
2406:2d40:8100::/42,SG,SG,Singapore,



203.0.113.0/24,AU,AU-NSW,Sydney,
198.51.100.0/24,GB,GB-ENG,London,
2001:db8::/32,FR,FR-IDF,Paris,







# Sample IP Geofeed - RFC 8805 Format
# Sample IP Geofeed - RFC 8805 Format
# Sample IP Geofeed - RFC 8805 Format
8.8.8.0/24,US,
1.1.1.0/24,AU,,Melbourne,
1.1.2.0/24,IN,,Bangalore,
