2400:cb00:973::/48,US,US-TX,Dallas,
104.28.79.96/32,US,US-FL,Hialeah,
104.28.85.111/32,US,US-CA,Los Angeles,
104.28.104.95/32,US,US-MI,Detroit,
104.28.132.103/32,US,US-MA,Barnstable,
104.28.146.22/32,US,US-NY,New York,
2606:54c3:0:672::/64,US,US-WI,Cable,
2606:54c3:0:197c::/64,US,US-OK,Eufaula,
2a09:bac2:be90::/45,US,US-TX,Henrietta,
2a09:bac3:5d60::/45,US,US-AR,Bella Vista,
2a09:bac3:8c38::/45,US,US-MI,Escanaba,
2a09:bac3:92d8::/45,US,US-MO,Sikeston,
2a09:bac3:9658::/45,US,US-MS,Monticello,
2a09:bac3:af58::/45,US,US-OR,Reedsport,
2a09:bac3:cc28::/45,US,US-WI,Wausau,
2a09:bac3:d140::/45,US,US-WY,Kemmerer,
104.28.153.100/32,US,US-GA,South Fulton,
104.28.179.254/32,US,US-NM,Albuquerque,
104.28.188.163/32,US,US-FL,Tallahassee,
104.28.196.30/32,US,US-CA,Long Beach,
104.28.217.240/32,US,US-CA,Bakersfield,
104.28.238.66/32,US,US-CA,San Diego,
104.28.240.107/32,US,US-IL,Rockford,
2a09:bac1:7680:68::/64,US,US-GA,Valdosta,
2a09:bac1:7680:1f88::/64,US,US-CA,Atwater,
2a09:bac1:7681:54c0::/64,US,US-OH,Bluffton,
2a09:bac1:76a0:82d8::/64,US,US-WY,Thermopolis,
2a09:bac1:76a0:a318::/64,US,US-MS,Horn Lake,
2a09:bac1:76a0:ed88::/64,US,US-MT,Big Timber,
2a09:bac1:76a0:f7d0::/64,US,US-ND,Watford City,
2a09:bac1:76a1:2060::/64,US,US-GA,Rochelle,
2a09:bac1:76a1:4630::/64,US,US-IL,Urbana,
2a09:bac1:76a1:4fe8::/64,US,US-MI,Douglas,
2a09:bac1:76a1:7b78::/64,US,US-MI,Escanaba,
2a09:bac1:76c0:7f0::/64,US,US-PA,Meyersdale,
2a09:bac1:76c0:5c28::/64,US,US-LA,Franklinton,
2a09:bac1:76c1:5c70::/64,US,US-NY,Hamburg,
2a09:bac1:76e0:c648::/64,US,US-MN,Blue Earth,
2a09:bac5:8c68::/45,US,US-MI,Greenville,
2a09:bac5:91b8::/45,US,US-MN,Hibbing,
2a09:bac5:9fa8::/45,US,US-ND,Grand Forks,
2a09:bac5:c700::/45,US,US-VA,Lawrenceville,
2a09:bac6:61c0::/45,US,US-AZ,Glendale,
2a09:bac6:7010::/45,US,US-GA,Elberton,
2a09:bac6:c8c0::/45,US,US-VA,Lebanon,
2a09:bac6:ca20::/45,US,US-WA,Soap Lake,
2a09:bac6:d1b8::/45,US,US-WV,Wheeling,
104.30.132.18/32,US,US-NY,New York,
2a09:bac0:1000:d56::/64,US,US-AZ,Phoenix,
104.30.179.158/32,US,US-CA,San Jose,
162.158.254.0/24,IL,,Haifa,
104.28.9.149/32,DO,,,
104.28.11.117/32,JP,,,
104.28.31.60/32,RU,,Saint Petersburg,
104.28.47.201/32,CL,CL-RM,Santiago,
104.28.51.15/32,AM,AM-ER,Yerevan,
104.28.51.33/32,IN,IN-HR,Faridabad,
104.28.55.45/32,CA,CA-QC,Quebec City,
104.28.66.95/32,MO,,Macau,
104.28.71.167/32,VN,VN-SG,Ho Chi Minh City,
104.28.80.45/32,CD,CD-KE,Mbuji-Mayi,
104.28.87.118/32,ES,ES-AN,Sevilla,
104.28.88.4/32,AD,AD-07,Andorra la Vella,
104.28.91.22/32,CO,CO-DC,Bogota,
104.28.109.28/32,CA,CA-ON,Toronto,
104.28.117.13/32,BN,BN-BM,Bandar Seri Begawan,
104.28.147.90/32,IN,,Gharroli,
2606:54c0:20a0::/45,CN,CN-GS,Wuwei,
2606:54c0:20b0::/45,CN,CN-GS,Lanzhou,
2a09:bac3:29b0::/45,DE,DE-BY,Oberviechtach,
2a09:bac3:2d18::/45,DE,DE-NW,Rheine,
2a09:bac3:3fb8::/45,IN,IN-TN,Sivakasi,
104.28.24.46/32,FR,FR-GES,Strasbourg,
104.28.172.38/32,IN,IN-UP,Moradabad,
104.28.181.243/32,CL,CL-RM,Santiago,
104.28.192.11/32,CO,CO-NSA,Cucuta,
104.28.192.60/32,GB,,London,
104.28.214.198/32,GB,GB-RDG,Reading,
104.28.235.12/32,CL,CL-AR,Temuco,
104.28.255.182/32,CN,CN-SD,Heze,
2a09:bac1:1120:13a0::/64,BR,BR-PR,Farol,
2a09:bac1:19a0:d820::/64,CN,CN-GD,Qingyuan,
2a09:bac1:19e0:e698::/64,CN,CN-FJ,Quanzhou,
2a09:bac1:3b40:c58::/64,JP,JP-23,Otto,
2a09:bac1:50e0:2700::/64,MX,MX-BCN,Ensenada,
2a09:bac1:5ba0:8::/64,PL,,,
2a09:bac1:64e0:160::/64,SE,SE-O,Stromstad,
2a09:bac1:67a0::/64,SL,SL-W,Freetown,
2a09:bac1:6f40:e88::/64,TH,TH-55,Nan,
2a09:bac1:6f60:830::/64,TH,TH-17,Sing Buri,
2a09:bac5:3bb8::/45,IN,IN-AP,Tirupati,
2a09:bac5:4bd0::/45,MX,MX-OAX,Oaxaca,
2a09:bac5:4f00::/45,PA,,Pacora,
2a09:bac6:1970::/45,CA,CA-ON,St. Catharines,
2a09:bac6:26e8::/45,CO,CO-CES,Valledupar,
2a09:bac0:1001:e::/64,BE,BE-BRU,Brussels,
2a09:bac0:1000:11e::/64,AU,AU-TAS,Hobart,
104.30.134.78/32,IT,IT-25,Gallarate,
2a09:bac0:1000:5c7::/64,IT,IT-25,Gallarate,
2a09:bac0:1000:16ae::/64,IE,,Dublin,
9.161.133.0/24,US,US-TX,Dallas,
9.170.14.0/24,US,US-LA,New Orleans,
9.170.25.0/24,US,US-NC,Charlotte,
9.170.32.0/24,US,US-NY,New York City,
66.9.184.0/24,US,US-CA,Los Angeles,
74.244.8.0/24,US,US-CO,Denver,
74.244.40.0/24,US,US-CA,Los Angeles,
74.244.54.0/24,US,US-GA,Atlanta,
74.244.116.0/24,US,US-MO,Kansas City,
74.244.174.0/24,US,US-AZ,Phoenix,
74.244.220.0/24,US,US-NC,Charlotte,
74.244.248.0/24,US,US-TX,Dallas,
74.244.255.0/24,US,US-TX,Dallas,
98.97.49.0/24,US,US-OR,Portland,
98.97.71.0/24,US,US-ND,Fargo,
98.97.98.0/24,US,US-WA,Seattle,
98.97.102.0/24,US,US-WA,Seattle,
98.97.116.0/24,US,US-AZ,Phoenix,
98.97.142.0/24,US,US-CA,Los Angeles,
98.97.153.0/24,US,US-TX,Dallas,
98.97.186.0/24,US,US-FL,Miami,
129.222.41.0/24,US,US-MN,Minneapolis,
129.222.89.0/24,US,US-FL,Miami,
129.222.163.0/24,US,US-VA,Ashburn,
129.222.236.0/24,US,US-NY,New York,
129.224.200.0/24,US,US-WI,Milwaukee,
143.105.0.0/24,US,US-VA,Ashburn,
143.105.20.0/24,US,US-FL,Miami,
143.105.183.0/24,US,US-CO,Denver,
143.105.224.0/24,US,US-GA,Atlanta,
153.66.45.0/24,US,US-NE,Omaha,
153.66.109.0/24,US,US-SC,Charleston,
153.66.113.0/24,US,US-MS,Jackson,
153.66.115.0/24,US,US-MS,Jackson,
153.66.142.0/24,US,US-PA,Philadelphia,
153.66.178.0/24,US,US-MI,Detroit,
153.66.241.0/24,US,US-MS,Jackson,
153.67.220.0/24,US,US-NV,Las Vegas,
179.64.10.0/24,US,US-TN,Nashville,
179.64.14.0/24,US,US-KY,Louisville,
179.64.19.0/24,US,US-IN,Indianapolis,
179.64.67.0/24,US,US-NC,Charlotte,
216.234.197.0/24,US,US-VA,Ashburn,
216.234.221.0/24,US,US-MI,Detroit,
2605:59c0:8800::/40,US,US-MI,Detroit,
2605:59c8:2100::/40,US,US-NY,New York,
2605:59c8:2d00::/40,US,US-MT,Billings,
2605:59ca:6100::/40,US,US-TX,Dallas,
2605:59ca:6d00::/40,US,US-IA,Des Moines,
2605:59ca:807c::/46,US,US-CO,Denver,
9.170.89.0/24,DJ,DJ-DJ,Djibouti,
9.170.255.0/24,UA,UA-30,Kyiv,
9.246.75.0/24,IT,IT-25,Milan,
65.181.4.0/24,JP,JP-13,Tokyo,
65.181.26.0/24,AU,AU-QLD,Brisbane,
66.9.176.0/24,MX,MX-CMX,Mexico City,
74.244.65.0/24,GT,GT-01,Guatemala City,
74.244.69.0/24,TD,TD-ND,N'Djamena,
129.222.207.0/24,NG,NG-LA,Lagos,
143.105.68.0/24,MX,MX-CMX,Mexico City,
143.105.75.0/24,NE,NE-8,Niamey,
143.105.95.0/24,CM,CM-CE,Yaoundé,
143.105.109.0/24,PY,PY-ASU,Asuncion,
143.105.155.0/24,SZ,SZ-HH,Mbabane,
143.105.175.0/24,NG,NG-LA,Lagos,
145.224.118.0/24,GR,GR-I,Athens,
145.224.119.0/24,GR,GR-I,Athens,
148.222.206.0/24,BR,BR-SP,Sao Paulo,
148.227.81.0/24,CO,CO-DC,Bogota,
148.227.82.0/24,BR,BR-DF,Brasília,
148.227.105.0/24,UY,UY-MO,Montevideo,
150.228.0.0/24,SE,SE-AB,Stockholm,
150.228.5.0/24,UA,UA-30,Kyiv,
150.228.20.0/24,IE,IE-D,Dublin,
150.228.31.0/24,UA,UA-30,Kyiv,
150.228.95.0/24,DE,DE-BE,Berlin,
150.228.214.0/24,AS,,Pago Pago,
150.228.242.0/24,AU,AU-VIC,Melbourne,
153.67.59.0/24,CF,CF-BGF,Bangui,
153.67.134.0/24,CL,CL-RM,Santiago,
153.67.226.0/24,CH,CH-ZH,Zurich,
153.67.231.0/24,DE,DE-BE,Berlin,
170.203.219.0/24,CA,CA-AB,Calgary,
179.64.65.0/24,TD,TD-ND,N'Djamena,
179.64.98.0/24,ML,ML-BKO,Bamako,
179.64.99.0/24,ML,ML-BKO,Bamako,
179.64.114.0/24,CA,CA-SK,Regina,
179.64.115.0/24,CA,CA-SK,Regina,
179.65.213.0/24,ID,ID-JK,Jakarta,
209.198.134.0/24,AZ,AZ-BA,Baku,
216.234.209.0/24,BR,BR-SP,Sao Paulo,
145.224.117.128/25,FR,FR-IDF,Paris,
145.224.122.0/25,UA,UA-30,Kyiv,
206.83.104.0/25,JP,JP-13,Tokyo,
198.54.100.51/32,BJ,BJ-OU,Porto-Novo,
198.54.100.71/32,SK,SK-BL,Bratislava,
2605:59c8:1200::/40,SD,SD-KH,Khartoum,
2605:59c8:3800::/40,CA,CA-ON,Toronto,
2803:9810:6800::/40,CO,CO-DC,Bogota,
2620:134:b054:100::64/128,DE,DE-BE,Berlin,
